epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,424.582,0.75324,1.42133,1.25379,0.75648,0.70508,0.72869,0.37635,1.40047,2.0121,2.24902,0.000661376,0.000661376,0.000661376
2,846.962,0.9308,1.17756,1.37843,0.78699,0.67797,0.71719,0.38248,1.42999,1.68423,2.34663,0.00130175,0.00130175,0.00130175
3,1269.58,1.02356,1.15992,1.44953,0.72579,0.69831,0.70521,0.35649,1.51731,1.64008,2.22759,0.00191572,0.00191572,0.00191572
4,1691.69,1.00427,1.11374,1.41578,0.79945,0.73898,0.76203,0.44901,1.29597,1.40924,2.02904,0.0018812,0.0018812,0.0018812
5,2114.23,0.95937,1.05101,1.39316,0.89499,0.77966,0.80884,0.46053,1.39787,1.24874,2.09147,0.0018416,0.0018416,0.0018416
6,2536.61,0.94724,0.99204,1.38801,0.78706,0.67288,0.7339,0.45846,1.25563,1.34592,1.8641,0.001802,0.001802,0.001802
7,2958.93,0.89744,0.94396,1.352,0.8647,0.80156,0.81019,0.52779,1.11687,1.12917,1.76112,0.0017624,0.0017624,0.0017624
8,3381.93,0.88202,0.93028,1.34417,0.86361,0.77272,0.78635,0.4291,1.40816,1.13631,2.2282,0.0017228,0.0017228,0.0017228
9,3806.52,0.83685,0.87117,1.30967,0.91644,0.79934,0.84445,0.5829,1.04853,0.97678,1.67926,0.0016832,0.0016832,0.0016832
10,4228.62,0.82518,0.86221,1.30539,0.88621,0.77458,0.79419,0.50198,1.18219,1.1105,1.87624,0.0016436,0.0016436,0.0016436
11,4651.62,0.78549,0.82277,1.27441,0.9003,0.79153,0.82667,0.56147,1.06263,1.0511,1.75645,0.001604,0.001604,0.001604
12,5079.38,0.78347,0.8165,1.27849,0.91995,0.81812,0.84076,0.59331,0.99659,0.94849,1.62786,0.0015644,0.0015644,0.0015644
13,5506.5,0.77306,0.81392,1.27093,0.92575,0.79322,0.83825,0.61035,0.94586,0.97262,1.55406,0.0015248,0.0015248,0.0015248
14,5927.63,0.72719,0.75361,1.24083,0.83246,0.76949,0.80726,0.56742,0.98982,1.11462,1.59642,0.0014852,0.0014852,0.0014852
15,6349.94,0.72536,0.77636,1.23482,0.93125,0.82656,0.8485,0.63717,0.8665,0.8896,1.48082,0.0014456,0.0014456,0.0014456
16,6770.61,0.71277,0.74461,1.23686,0.93803,0.81186,0.84322,0.60637,0.94366,0.86911,1.60537,0.001406,0.001406,0.001406
17,7193.07,0.68719,0.72193,1.21272,0.92816,0.8,0.84719,0.63971,0.84638,0.84669,1.45188,0.0013664,0.0013664,0.0013664
18,7615.01,0.68103,0.70287,1.21715,0.93985,0.82098,0.84349,0.62867,0.8776,0.89792,1.49047,0.0013268,0.0013268,0.0013268
19,8036.68,0.68006,0.71042,1.20202,0.95134,0.82034,0.86048,0.67322,0.79241,0.82207,1.4226,0.0012872,0.0012872,0.0012872
20,8459.07,0.67633,0.70449,1.20131,0.95432,0.81436,0.85439,0.6494,0.83794,0.84152,1.44057,0.0012476,0.0012476,0.0012476
21,8881.09,0.6548,0.69216,1.18788,0.9229,0.81356,0.84252,0.65106,0.77268,0.89719,1.37153,0.001208,0.001208,0.001208
22,9303.48,0.64937,0.68919,1.18899,0.95462,0.82712,0.85775,0.69409,0.75561,0.76831,1.36502,0.0011684,0.0011684,0.0011684
23,9725.19,0.64037,0.67554,1.18037,0.91999,0.81857,0.84913,0.65351,0.81555,0.86925,1.42219,0.0011288,0.0011288,0.0011288
24,10149.1,0.62422,0.65983,1.16565,0.95822,0.83051,0.86235,0.68881,0.73337,0.74686,1.34044,0.0010892,0.0010892,0.0010892
25,10571.2,0.63351,0.66079,1.17977,0.95127,0.82708,0.85924,0.69511,0.74084,0.76367,1.35184,0.0010496,0.0010496,0.0010496
26,10991.9,0.60366,0.62937,1.15078,0.9461,0.8339,0.86256,0.68193,0.7507,0.77099,1.40808,0.00101,0.00101,0.00101
27,11412.7,0.59094,0.62145,1.1521,0.94996,0.8322,0.86269,0.70463,0.72193,0.75078,1.34658,0.0009704,0.0009704,0.0009704
28,11833.6,0.58588,0.61417,1.13921,0.95649,0.82881,0.85796,0.71071,0.66302,0.71236,1.28511,0.0009308,0.0009308,0.0009308
29,12254.4,0.58715,0.62116,1.14222,0.96421,0.82182,0.86526,0.71103,0.71228,0.72441,1.32983,0.0008912,0.0008912,0.0008912
30,12675,0.59218,0.62222,1.14847,0.9506,0.82712,0.8581,0.6984,0.71668,0.72193,1.34677,0.0008516,0.0008516,0.0008516
31,13095.3,0.57312,0.58917,1.13403,0.95864,0.82881,0.85879,0.71548,0.66338,0.72641,1.29226,0.000812,0.000812,0.000812
32,13516.7,0.55678,0.58446,1.12068,0.95861,0.82436,0.86737,0.71375,0.6879,0.68783,1.31061,0.0007724,0.0007724,0.0007724
33,13937.9,0.54969,0.57683,1.11844,0.95594,0.84575,0.8666,0.72469,0.65951,0.68564,1.29195,0.0007328,0.0007328,0.0007328
34,14358.5,0.55021,0.57874,1.12784,0.955,0.8274,0.86246,0.71954,0.6643,0.73159,1.28527,0.0006932,0.0006932,0.0006932
35,14779.1,0.5295,0.56512,1.09969,0.96411,0.82881,0.8643,0.72064,0.64959,0.6759,1.26558,0.0006536,0.0006536,0.0006536
36,15200,0.53088,0.55851,1.11065,0.9626,0.83898,0.86687,0.72582,0.63251,0.65356,1.26395,0.000614,0.000614,0.000614
37,15623.7,0.51367,0.53715,1.09756,0.96199,0.83729,0.86832,0.72755,0.63322,0.66693,1.26348,0.0005744,0.0005744,0.0005744
38,16044.4,0.52256,0.53529,1.10148,0.97626,0.83625,0.86517,0.73717,0.62278,0.65001,1.26522,0.0005348,0.0005348,0.0005348
39,16465.5,0.50956,0.53892,1.08946,0.96885,0.84347,0.86701,0.73154,0.62568,0.6559,1.2444,0.0004952,0.0004952,0.0004952
40,16886.1,0.51545,0.53666,1.10082,0.97275,0.83559,0.87603,0.74995,0.59744,0.61858,1.21986,0.0004556,0.0004556,0.0004556
41,17301.4,0.44689,0.51337,1.1371,0.95631,0.84068,0.87712,0.73529,0.60344,0.65464,1.22224,0.000416,0.000416,0.000416
42,17717.7,0.42627,0.45707,1.12,0.97415,0.83559,0.878,0.75399,0.58826,0.62522,1.20354,0.0003764,0.0003764,0.0003764
43,18133,0.41147,0.44468,1.10343,0.96975,0.8339,0.88003,0.75242,0.59168,0.61806,1.21595,0.0003368,0.0003368,0.0003368
44,18547.7,0.40908,0.42565,1.09638,0.9703,0.83729,0.88079,0.75858,0.59362,0.59316,1.2239,0.0002972,0.0002972,0.0002972
45,18963.8,0.3882,0.42122,1.07897,0.96729,0.83051,0.87415,0.75198,0.57025,0.6137,1.19535,0.0002576,0.0002576,0.0002576
46,19383.8,0.37144,0.40308,1.06692,0.97863,0.84068,0.87822,0.75803,0.56268,0.58934,1.19779,0.000218,0.000218,0.000218
47,19812.1,0.36452,0.39418,1.06304,0.98008,0.83404,0.878,0.75949,0.57869,0.59448,1.21262,0.0001784,0.0001784,0.0001784
48,20227.9,0.35194,0.37077,1.05117,0.98213,0.83859,0.8789,0.75999,0.5614,0.58787,1.19185,0.0001388,0.0001388,0.0001388
49,20643.3,0.34629,0.36449,1.03515,0.9836,0.83729,0.87729,0.75986,0.55456,0.596,1.19184,9.92e-05,9.92e-05,9.92e-05
50,21059.4,0.33783,0.36783,1.03491,0.98402,0.83498,0.87796,0.76045,0.54957,0.58027,1.18804,5.96e-05,5.96e-05,5.96e-05
